operation,lpn,data
W,17,117
W,22,122
W,6,106
W,23,123
W,3,103
W,21,121
W,16,116
W,12,112
W,4,104
W,16,116
W,8,108
W,11,111
W,25,125
W,4,104
W,5,105
W,20,120
W,12,112
W,23,123
W,11,111
W,4,104
W,7,107
W,4,104
W,12,112
W,25,125
W,12,112
W,11,111
W,12,112
W,23,123
W,5,105
W,4,104
W,22,122
W,21,121
W,13,113
W,6,106
W,15,115
W,22,122
W,11,111
W,24,124
W,4,104
W,25,125
W,17,117
W,23,123
W,8,108
W,22,122
W,25,125
W,8,108
W,3,103
W,18,118
W,23,123
W,7,107
W,14,114
W,24,124
W,3,103
W,13,113
W,24,124
W,21,121
W,2,102
W,15,115
W,12,112
W,12,112
W,12,112
W,9,109
W,4,104
W,24,124
W,15,115
W,18,118
W,16,116
W,14,114
W,8,108
W,9,109
W,15,115
W,16,116
W,19,119
W,19,119
W,6,106
W,17,117
W,13,113
W,8,108
W,14,114
W,20,120
W,18,118
W,2,102
W,0,100
W,24,124
W,7,107
W,15,115
W,15,115
W,4,104
W,5,105
W,20,120
W,18,118
W,18,118
W,9,109
W,5,105
W,10,110
W,17,117
W,25,125
W,0,100
W,6,106
W,6,106
W,7,107
W,0,100
W,22,122
W,0,100
W,15,115
W,25,125
W,14,114
W,20,120
W,25,125
W,9,109
W,20,120
W,18,118
W,16,116
W,2,102
W,0,100
W,4,104
W,19,119
W,4,104
W,17,117
W,12,112
W,19,119
W,8,108
W,25,125
W,14,114
W,18,118
W,8,108
W,8,108
W,6,106
W,0,100
W,23,123
W,21,121
W,20,120
W,18,118
W,25,125
W,16,116
W,11,111
W,24,124
W,13,113
W,3,103
W,22,122
W,6,106
W,17,117
W,10,110
W,6,106
W,18,118
W,4,104
W,4,104
W,13,113
W,10,110
W,3,103
W,1,101
W,24,124
W,23,123
W,25,125
W,10,110
W,12,112
W,12,112
W,4,104
W,7,107
W,0,100
W,2,102
W,17,117
W,7,107
W,21,121
W,5,105
W,15,115
W,4,104
W,11,111
W,12,112
W,19,119
W,9,109
W,6,106
W,16,116
W,5,105
W,13,113
W,13,113
W,18,118
W,11,111
W,10,110
W,23,123
W,0,100
W,16,116
W,10,110
W,24,124
W,8,108
W,1,101
W,7,107
W,5,105
W,13,113
W,2,102
W,10,110
W,17,117
W,8,108
W,2,102
W,13,113
W,10,110
W,18,118
W,2,102
W,17,117
W,3,103
W,11,111
W,12,112
W,14,114
W,15,115
W,17,117
W,0,100
W,12,112
W,24,124
W,7,107
W,16,116
W,2,102
W,18,118
W,21,121
W,5,105
W,6,106
W,1,101
W,17,117
W,19,119
W,18,118
W,9,109
W,20,120
W,6,106
W,0,100
W,20,120
W,14,114
W,13,113
W,5,105
W,8,108
W,12,112
W,14,114
W,22,122
W,0,100
W,14,114
W,22,122
W,19,119
W,12,112
W,21,121
W,3,103
W,20,120
W,18,118
W,1,101
W,8,108
W,6,106
W,22,122
W,14,114
W,1,101
W,8,108
W,15,115
W,15,115
W,23,123
W,20,120
W,1,101
W,13,113
W,9,109
W,8,108
W,3,103
W,15,115
W,11,111
W,11,111
W,4,104
W,19,119
W,5,105
W,4,104
W,20,120
W,2,102
W,0,100
W,5,105
W,21,121
W,15,115
W,22,122
W,25,125
W,25,125
W,4,104
W,23,123
W,7,107
W,14,114
W,4,104
W,23,123
W,21,121
W,3,103
W,10,110
W,22,122
W,20,120
W,10,110
W,3,103
W,22,122
W,25,125
W,24,124
W,15,115
W,22,122
W,22,122
W,7,107
W,12,112
W,19,119
W,0,100
W,19,119
W,25,125
W,12,112
W,7,107
W,25,125
W,12,112
W,14,114
W,11,111
W,18,118
W,10,110
W,8,108
W,21,121
W,9,109
W,10,110
W,1,101
W,23,123
W,2,102
W,11,111
W,8,108
W,7,107
W,6,106
W,8,108
W,7,107
W,5,105
W,8,108
W,9,109
W,15,115
W,19,119
W,0,100
W,16,116
W,11,111
W,4,104
W,5,105
W,17,117
W,1,101
W,2,102
W,6,106
W,3,103
W,9,109
W,19,119
W,20,120
W,4,104
W,12,112
W,18,118
W,13,113
W,4,104
W,13,113
W,20,120
W,11,111
W,21,121
W,21,121
W,24,124
W,2,102
W,3,103
W,13,113
W,0,100
W,14,114
W,17,117
W,13,113
W,13,113
W,13,113
W,13,113
W,25,125
W,18,118
W,10,110
W,4,104
W,22,122
W,17,117
W,19,119
W,21,121
W,19,119
W,19,119
W,20,120
W,13,113
W,20,120
W,16,116
W,1,101
W,11,111
W,23,123
W,5,105
W,22,122
W,18,118
W,23,123
W,20,120
W,9,109
W,9,109
W,8,108
W,22,122
W,22,122
W,19,119
W,22,122
W,14,114
W,23,123
W,19,119
W,13,113
W,17,117
W,16,116
W,23,123
W,23,123
W,19,119
W,23,123
W,9,109
W,0,100
W,13,113
W,9,109
