operation,lpn,data
W,10,100
W,2,100
W,3,100
W,0,100
W,3,101
W,0,101
W,3,102
W,2,101
W,1,100
W,2,102
W,1,101
W,3,103
W,1,102
W,2,103
W,2,104
W,2,105
W,3,104
W,2,106
W,1,103
W,0,102
W,1,104
W,0,103
W,1,105
W,1,106
W,2,107
W,2,108
W,1,107
W,3,105
W,8,100
W,3,106
W,2,109
W,3,107
W,0,104
W,2,110
W,3,108
W,1,108
W,3,109
W,0,105
W,0,106
W,3,110
W,1,109
W,1,110
W,0,107
W,1,111
W,3,111
W,3,112
W,0,108
W,1,112
W,2,111
W,2,112
W,0,109
W,0,110
W,15,100
W,2,113
W,3,113
W,0,111
W,3,114
W,3,115
W,2,114
W,24,100
W,3,116
W,1,113
W,3,117
W,3,118
W,2,115
W,3,119
W,25,100
W,1,114
W,1,115
W,18,100
W,1,116
W,25,101
W,1,117
W,0,112
W,23,100
W,2,116
W,13,100
W,0,113
W,0,114
W,19,100
W,3,120
W,20,100
W,1,118
W,3,121
W,2,117
W,2,118
W,2,119
W,3,122
W,3,123
W,0,115
W,2,120
W,8,101
W,17,100
W,2,121
W,2,122
W,15,101
W,3,124
W,0,116
W,1,119
W,0,117
W,16,100
W,0,118
W,3,125
W,3,126
W,5,100
W,0,119
W,1,120
W,2,123
W,0,120
W,2,124
W,2,125
W,2,126
W,2,127
W,0,121
W,5,101
W,1,121
W,1,122
W,0,122
W,0,123
W,3,127
W,3,128
W,3,129
W,2,128
W,0,124
W,2,129
W,0,125
W,2,130
W,3,130
W,13,101
W,1,123
W,2,131
W,3,131
W,2,132
W,0,126
W,0,127
W,1,124
W,3,132
W,1,125
W,2,133
W,2,134
W,0,128
W,3,133
W,3,134
W,1,126
W,3,135
W,3,136
W,1,127
W,1,128
W,0,129
W,0,130
W,2,135
W,3,137
W,2,136
W,1,129
W,2,137
W,1,130
W,3,138
W,24,101
W,0,131
W,1,131
W,1,132
W,1,133
W,3,139
W,0,132
W,0,133
W,0,134
W,0,135
W,0,136
W,0,137
W,9,100
W,3,140
W,3,141
W,1,134
W,3,142
W,1,135
W,1,136
W,2,138
W,0,138
W,2,139
W,0,139
W,0,140
W,0,141
W,2,140
W,1,137
W,2,141
W,3,143
W,3,144
W,2,142
W,3,145
W,0,142
W,1,138
W,0,143
W,3,146
W,2,143
W,3,147
W,1,139
W,0,144
W,17,101
W,3,148
W,3,149
W,2,144
W,1,140
W,2,145
W,2,146
W,6,100
W,22,100
W,3,150
W,3,151
W,2,147
W,3,152
W,2,148
W,3,153
W,2,149
W,0,145
W,3,154
W,3,155
W,1,141
W,2,150
W,1,142
W,2,151
W,1,143
W,3,156
W,0,146
W,2,152
W,3,157
W,20,101
W,3,158
W,2,153
W,3,159
W,0,147
W,1,144
W,3,160
W,2,154
W,1,145
W,0,148
W,3,161
W,2,155
W,0,149
W,14,100
W,3,162
W,2,156
W,2,157
W,3,163
W,1,146
W,17,102
W,3,164
W,0,150
W,2,158
W,1,147
W,1,148
W,1,149
W,1,150
W,1,151
W,0,151
W,0,152
W,3,165
W,3,166
W,1,152
W,3,167
W,0,153
W,2,159
W,1,153
W,19,101
W,0,154
W,0,155
W,3,168
W,0,156
W,1,154
W,2,160
W,1,155
W,2,161
W,2,162
W,3,169
W,2,163
W,3,170
W,2,164
W,0,157
W,1,156
W,2,165
W,0,158
W,0,159
W,2,166
W,3,171
W,3,172
W,2,167
W,1,157
W,1,158
W,2,168
W,1,159
W,0,160
W,0,161
W,3,173
W,0,162
W,0,163
W,0,164
W,0,165
W,23,101
W,1,160
W,1,161
W,2,169
W,1,162
W,19,102
W,3,174
W,2,170
W,0,166
W,3,175
W,1,163
W,0,167
W,2,171
W,3,176
W,0,168
W,1,164
W,0,169
W,1,165
W,9,101
W,4,100
W,2,172
W,3,177
W,2,173
W,0,170
W,2,174
W,0,171
W,2,175
W,1,166
W,2,176
W,3,178
W,1,167
W,0,172
W,2,177
W,3,179
W,2,178
W,0,173
W,2,179
W,3,180
W,3,181
W,0,174
W,1,168
W,2,180
W,0,175
W,3,182
W,1,169
W,3,183
W,3,184
W,3,185
W,1,170
W,2,181
W,0,176
W,1,171
W,2,182
W,2,183
W,3,186
W,1,172
W,0,177
W,2,184
W,3,187
W,2,185
W,21,100
W,1,173
W,1,174
W,0,178
W,0,179
W,0,180
W,20,102
W,1,175
W,0,181
W,25,102
W,0,182
W,1,176
W,2,186
W,1,177
W,2,187
W,2,188
W,1,178
W,2,189
W,1,179
W,1,180
W,23,102
W,3,188
W,13,102
W,1,181
W,1,182
W,2,190
W,1,183
W,0,183
W,2,191
W,1,184
W,3,189
W,3,190
W,2,192
W,3,191
W,0,184
W,1,185
W,0,185
W,3,192
W,0,186
W,3,193
W,2,193
W,0,187
W,12,100
W,2,194
